id	direction	compartment	gpr	name	enzyme	deltag	reference	equation	definition	ms id	bigg id	kegg id	kegg pathways	metacyc pathways
rxn00646_c0	>	Cytosol_0	(TT17_RS08225 or WP_004923251.1)	L-glutamate:L-cysteine gamma-ligase (ADP-forming)_c0		-6.35		(1)  cpd00002[c0] + (1)  cpd00023[c0] + (1)  cpd00084[c0] => (1)  cpd00008[c0] + (1)  cpd00009[c0] + (1)  cpd00067[c0] + (1)  cpd00506[c0]	(1)  ATP_c0[c0] + (1)  L-Glutamate_c0[c0] + (1)  L-Cysteine_c0[c0] => (1)  ADP_c0[c0] + (1)  Phosphate_c0[c0] + (1)  H+_c0[c0] + (1)  gamma-Glutamylcysteine_c0[c0]	rxn00646	GLUCYS	R00894	Glutathione metabolism	Biosynthesis|Cofactor-Biosynthesis|GLUTATHIONESYN-PWY|Other-biosynthesis|Reductants
rxn00935_c0	=	Cytosol_0	(WP_004921803.1 or TT17_RS06680)	(S)-Malate:(acceptor) oxidoreductase_c0		-3.1		(1)  cpd00015[c0] + (1)  cpd00067[c0] + (1)  cpd00130[c0] <=> (1)  cpd00032[c0] + (1)  cpd00982[c0]	(1)  FAD_c0[c0] + (1)  H+_c0[c0] + (1)  L-Malate_c0[c0] <=> (1)  Oxaloacetate_c0[c0] + (1)  FADH2_c0[c0]	rxn00935		R01257	Pyruvate metabolism	
rxn01673_c0	=	Cytosol_0	(TT17_RS03915 or WP_004920009.1)	ATP:dCDP phosphotransferase_c0		0		(1)  cpd00002[c0] + (1)  cpd00533[c0] <=> (1)  cpd00008[c0] + (1)  cpd00356[c0]	(1)  ATP_c0[c0] + (1)  dCDP_c0[c0] <=> (1)  ADP_c0[c0] + (1)  dCTP_c0[c0]	rxn01673	NDPK7	R02326	Pyrimidine metabolism	Biosynthesis|Nucleotide-Biosynthesis|PWY0-166|PYR-NUC-SYN|Pyrimid-Deoxyribonucleot-De-Novo-Biosyn
rxn00973_c0	=	Cytosol_0	((TT17_RS04565 or TT17_RS13580 or WP_017385161.1 or WP_004924430.1) and Unknown and Unknown and Unknown and Unknown)	citrate hydroxymutase_c0		1.42		(1)  cpd00137[c0] <=> (1)  cpd00260[c0]	(1)  Citrate_c0[c0] <=> (1)  Isocitrate_c0[c0]	rxn00973	ACONT	R01324		
rxn02000_c0	=	Cytosol_0	(TT17_RS09000 or WP_004930821.1)	dTDP-4-dehydro-6-deoxy-D-glucose 3,5-epimerase_c0		0		(1)  cpd00521[c0] <=> (1)  cpd00522[c0]	(1)  dTDP-4-oxo-6-deoxy-D-glucose_c0[c0] <=> (1)  dTDP-4-oxo-L-rhamnose_c0[c0]	rxn02000	TDPDRE	R06514	Streptomycin biosynthesis|Polyketide sugar unit biosynthesis	
rxn03239_c0	=	Cytosol_0	(((WP_004929620.1 or WP_004926572.1 or TT17_RS13975 or TT17_RS16175) and Unknown) or (TT17_RS13975 or TT17_RS16175 or WP_004929620.1 or WP_004926572.1))	(S)-3-Hydroxyhexadecanoyl-CoA:NAD+ oxidoreductase_c0		3.76		(1)  cpd00003[c0] + (1)  cpd03113[c0] <=> (1)  cpd00004[c0] + (1)  cpd00067[c0] + (1)  cpd03114[c0]	(1)  NAD_c0[c0] + (1)  (S) -3-Hydroxyhexadecanoyl-CoA_c0[c0] <=> (1)  NADH_c0[c0] + (1)  H+_c0[c0] + (1)  3-Oxopalmitoyl-CoA_c0[c0]	rxn03239	HACD7	R04737	Fatty acid elongation|Fatty acid degradation	
rxn11962_c0	=	Cytosol_0	(TT17_RS03460 or WP_004920274.1)	R02670_c0		-51.03		(4)  cpd00007[c0] + (2)  cpd00483[c0] <=> (2)  cpd00025[c0] + (2)  cpd00067[c0] + (2)  cpd00532[c0] + (1)  cpd03351[c0]	(4)  O2_c0[c0] + (2)  3-Hydroxyanthranilate_c0[c0] <=> (2)  H2O2_c0[c0] + (2)  H+_c0[c0] + (2)  O2-_c0[c0] + (1)  Cinnavalininate_c0[c0]	rxn11962		R02670	Tryptophan metabolism	
rxn05457_c0	=	Cytosol_0	(TT17_RS12940 or WP_004922148.1)	[Acyl-carrier-protein] acetyltransferase_c0		0		(1)  cpd00010[c0] + (1)  cpd11466[c0] <=> (1)  cpd01695[c0] + (1)  cpd11493[c0]	(1)  CoA_c0[c0] + (1)  Myristoyl-ACP_c0[c0] <=> (1)  Myristoyl-CoA_c0[c0] + (1)  ACP_c0[c0]	rxn05457	FAS1_6_c			
rxn00107_c0	=	Cytosol_0	(WP_004920009.1 or TT17_RS03915)	ATP:2'-deoxy-5-hydroxymethylcytidine-5'-diphosphate phosphotransferase_c0		0		(1)  cpd00002[c0] + (1)  cpd07923[c0] <=> (1)  cpd00008[c0] + (1)  cpd07924[c0]	(1)  ATP_c0[c0] + (1)  2'-Deoxy-5-hydroxymethylcytidine-5'-diphosphate_c0[c0] <=> (1)  ADP_c0[c0] + (1)  2'-Deoxy-5-hydroxymethylcytidine-5'-triphosphate_c0[c0]	rxn00107		R00139	Pyrimidine metabolism	
rxn04271_c0	=	Cytosol_0	(TT17_RS03565 or WP_004920211.1)	trans-2-Methyl-5-isopropylhexa-2,5-dienal dehydrogenase_c0		-9.8		(1)  cpd00001[c0] + (1)  cpd00003[c0] + (1)  cpd08739[c0] <=> (1)  cpd00004[c0] + (2)  cpd00067[c0] + (1)  cpd08740[c0]	(1)  H2O_c0[c0] + (1)  NAD_c0[c0] + (1)  trans-2-Methyl-5-isopropylhexa-2,5-dienal_c0[c0] <=> (1)  NADH_c0[c0] + (2)  H+_c0[c0] + (1)  trans-2-Methyl-5-isopropylhexa-2,5-dienoic acid_c0[c0]	rxn04271		R06408	Limonene and pinene degradation	
rxn13783_c0	>	Cytosol_0	(Unknown and Unknown and Unknown and (TT17_RS15240 or WP_004929432.1) and Unknown and Unknown and Unknown and Unknown and (TT17_RS03620 or WP_004920177.1) and Unknown and Unknown and Unknown and Unknown and Unknown and Unknown and Unknown and Unknown and (TT17_RS15720 or WP_004930060.1) and Unknown and (TT17_RS11390 or WP_004928902.1) and (TT17_RS15735 or WP_004930068.1) and Unknown and Unknown)	DNA replication_c0				 => (1)  cpd17042[c0]	 => (1)  DNA replication_c0[c0]	rxn13783				
rxn10118_c0	>	Cytosol_0	(Unknown and Unknown and Unknown and Unknown and (TT17_RS15480 or WP_004926765.1) and Unknown and Unknown and Unknown and Unknown and Unknown)	hydrogenase (ubiquinone-8: 2 protons) (periplasm)_c0		-25.91		(2)  cpd00067[c0] + (1)  cpd11640[c0] + (1)  cpd15560[c0] => (2)  cpd00067[e0] + (1)  cpd15561[c0]	(2)  H+_c0[c0] + (1)  H2_c0[c0] + (1)  Ubiquinone-8_c0[c0] => (2)  H+_e0[e0] + (1)  Ubiquinol-8_c0[c0]	rxn10118	HYD1			
rxn04070_c0	>	Cytosol_0	(WP_004928715.1 or TT17_RS07115)	pyridoxine 5'-phosphate synthase_c0	2.6.99.2	-22.13		(1)  cpd08289[c0] + (1)  cpd08449[c0] => (2)  cpd00001[c0] + (1)  cpd00009[c0] + (1)  cpd00067[c0] + (1)  cpd00478[c0]	(1)  1-deoxy-D-xylulose5-phosphate_c0[c0] + (1)  3-Amino-2-oxopropyl phosphate_c0[c0] => (2)  H2O_c0[c0] + (1)  Phosphate_c0[c0] + (1)  H+_c0[c0] + (1)  Pyridoxine phosphate_c0[c0]	rxn04070	PDX5PS2	R05838	Vitamin B6 metabolism	Biosynthesis|Cofactor-Biosynthesis|PWY0-845|PYRIDOXSYN-PWY|Vitamin-B6-Biosynthesis|Vitamin-Biosynthesis
rxn10231_c0	>	Cytosol_0	(TT17_RS14870 or WP_004924283.1)	isohexadecanoyl-CDPdiacylglycerol-serine O-phosphatidyltransferase_c0		-15.04		(1)  cpd00054[c0] + (1)  cpd15688[c0] => (1)  cpd00046[c0] + (2)  cpd00067[c0] + (1)  cpd15694[c0]	(1)  L-Serine_c0[c0] + (1)  CDP-1,2-diisohexadecanoylglycerol_c0[c0] => (1)  CMP_c0[c0] + (2)  H+_c0[c0] + (1)  Diisohexadecanoylphosphatidylserine_c0[c0]	rxn10231				
rxn04648_c0	=	Cytosol_0	(WP_004925474.1 or TT17_RS05905)	catechol:oxygen 1,2-oxidoreductase_c0		-93.05		(1)  cpd00007[c0] + (1)  cpd09310[c0] <=> (2)  cpd00067[c0] + (1)  cpd09312[c0]	(1)  O2_c0[c0] + (1)  3,4,6-Trichlorocatechol_c0[c0] <=> (2)  H+_c0[c0] + (1)  2,3,5-Trichloro-cis,cis-muconate_c0[c0]	rxn04648		R06833	Chlorocyclohexane and chlorobenzene degradation	AROMATIC-COMPOUNDS-DEGRADATION|CHLORINATED-COMPOUNDS-DEG|Chloroaromatic-Compounds-Degradation|Chlorocatechol-Degradation|Degradation
rxn10270_c0	>	Cytosol_0	(TT17_RS08105 or WP_004923182.1)	isohexadecanoyl-Phosphatidylglycerophosphate phosphohydrolase_c0		-2.317		(1)  cpd00001[c0] + (1)  cpd15721[c0] => (1)  cpd00009[c0] + (1)  cpd00067[c0] + (1)  cpd15727[c0]	(1)  H2O_c0[c0] + (1)  Diisohexadecanoylphosphatidylglycerophosphate_c0[c0] => (1)  Phosphate_c0[c0] + (1)  H+_c0[c0] + (1)  Diisohexadecanoylphosphatidylglycerol_c0[c0]	rxn10270				
rxn12637_c0	=	Cytosol_0	(TT17_RS00625 or WP_004927316.1 or WP_004927938.1 or TT17_RS01865)	RXN0-6987.c_c0		-0.46		(1)  cpd00001[c0] + (1)  cpd11589[c0] <=> (1)  cpd00033[c0] + (1)  cpd00041[c0]	(1)  H2O_c0[c0] + (1)  gly-asp-L_c0[c0] <=> (1)  Glycine_c0[c0] + (1)  L-Aspartate_c0[c0]	rxn12637	AMPEP13			
rxn09240_c0	=	Cytosol_0	(Unknown and (WP_011182212.1 or TT17_RS06380))	Sulfate adenyltransferase_c0		-3.78		(1)  cpd00001[c0] + (1)  cpd00002[c0] + (1)  cpd00038[c0] + (1)  cpd00048[c0] <=> (1)  cpd00009[c0] + (1)  cpd00012[c0] + (1)  cpd00031[c0] + (1)  cpd00067[c0] + (1)  cpd00193[c0]	(1)  H2O_c0[c0] + (1)  ATP_c0[c0] + (1)  GTP_c0[c0] + (1)  Sulfate_c0[c0] <=> (1)  Phosphate_c0[c0] + (1)  PPi_c0[c0] + (1)  GDP_c0[c0] + (1)  H+_c0[c0] + (1)  APS_c0[c0]	rxn09240	SADT2			
rxn01219_c0	=	Cytosol_0	(TT17_RS00290 or WP_004928142.1)	ATP:dCMP phosphotransferase_c0		9.53		(1)  cpd00002[c0] + (1)  cpd00067[c0] + (1)  cpd00206[c0] <=> (1)  cpd00008[c0] + (1)  cpd00533[c0]	(1)  ATP_c0[c0] + (1)  H+_c0[c0] + (1)  dCMP_c0[c0] <=> (1)  ADP_c0[c0] + (1)  dCDP_c0[c0]	rxn01219	CYTK2	R01665	Pyrimidine metabolism	
rxn00519_c0	=	Cytosol_0	(TT17_RS13720 or WP_004924345.1)	ITP:oxaloacetate carboxy-lyase (adding ITP; phosphoenolpyruvate-forming)_c0		-9.82		(1)  cpd00032[c0] + (1)  cpd00068[c0] <=> (1)  cpd00011[c0] + (1)  cpd00061[c0] + (1)  cpd00090[c0]	(1)  Oxaloacetate_c0[c0] + (1)  ITP_c0[c0] <=> (1)  CO2_c0[c0] + (1)  Phosphoenolpyruvate_c0[c0] + (1)  IDP_c0[c0]	rxn00519		R00726	Glycolysis / Gluconeogenesis|Citrate cycle (TCA cycle)|Pyruvate metabolism	
rxn00258_c0	=	Cytosol_0	(WP_004925924.1 or TT17_RS05095 or TT17_RS05090 or WP_004925925.1)	Malonyl-CoA:pyruvate carboxytransferase_c0		0		(1)  cpd00020[c0] + (1)  cpd00070[c0] <=> (1)  cpd00022[c0] + (1)  cpd00032[c0]	(1)  Pyruvate_c0[c0] + (1)  Malonyl-CoA_c0[c0] <=> (1)  Acetyl-CoA_c0[c0] + (1)  Oxaloacetate_c0[c0]	rxn00258		R00353	Propanoate metabolism	
rxn00800_c0	=	Cytosol_0	((TT17_RS04870 or WP_004926083.1) or (TT17_RS04870 or WP_004926083.1))	N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming)_c0		7.34		(1)  cpd02375[c0] <=> (1)  cpd00018[c0] + (1)  cpd00106[c0]	(1)  Adenylosuccinate_c0[c0] <=> (1)  AMP_c0[c0] + (1)  Fumarate_c0[c0]	rxn00800	ADE13_2	R01083	Purine metabolism|Alanine, aspartate and glutamate metabolism	Biosynthesis|DENOVOPURINE2-PWY|Nucleotide-Biosynthesis|PRPP-PWY|PUR-NUC-SYN|Purine-Nucleotide-De-Novo-Biosynthesis
rxn00211_c0	=	Cytosol_0	(WP_004930841.1 or WP_004930762.1 or TT17_RS09095 or TT17_RS08965)	UDP-glucose:NAD+ 6-oxidoreductase_c0		-4.58		(1)  cpd00001[c0] + (2)  cpd00003[c0] + (1)  cpd00026[c0] <=> (2)  cpd00004[c0] + (3)  cpd00067[c0] + (1)  cpd00144[c0]	(1)  H2O_c0[c0] + (2)  NAD_c0[c0] + (1)  UDP-glucose_c0[c0] <=> (2)  NADH_c0[c0] + (3)  H+_c0[c0] + (1)  UDPglucuronate_c0[c0]	rxn00211	UDPGD	R00286	Pentose and glucuronate interconversions|Ascorbate and aldarate metabolism|Starch and sucrose metabolism|Amino sugar and nucleotide sugar metabolism	Activation-Inactivation-Interconversion|Ascorbate-Biosynthesis|Biosynthesis|CARBO-BIOSYNTHESIS|COLANSYN-PWY|Carbohydrates-Biosynthesis|Carbohydrates-Degradation|Cell-Structure-Biosynthesis|Cofactor-Biosynthesis|Degradation|GALACTOSE-DEGRADATION|Interconversion|PWY3DJ-35471|SUGAR-NUCLEOTIDES|Sugars-And-Polysaccharides|Vitamin-Biosynthesis
rxn00179_c0	=	Cytosol_0	(TT17_RS07195 or WP_004928679.1)	ATP:L-glutamate 5-phosphotransferase_c0		-6.9		(1)  cpd00002[c0] + (1)  cpd00023[c0] <=> (1)  cpd00008[c0] + (1)  cpd02097[c0]	(1)  ATP_c0[c0] + (1)  L-Glutamate_c0[c0] <=> (1)  ADP_c0[c0] + (1)  L-Glutamyl 5-phosphate_c0[c0]	rxn00179	GLU5K	R00239	Arginine and proline metabolism	Amino-Acid-Biosynthesis|Biosynthesis|CITRULBIO-PWY|Citrulline-Biosynthesis|IND-AMINO-ACID-SYN|Other-Amino-Acid-Biosynthesis|PROLINE-SYN|PROSYN-PWY
rxn00730_c0	=	Cytosol_0	(TT17_RS07010 or WP_004928777.1)	Malonyl-CoA:anthranilate N-malonyltransferase_c0	2.3.1.113	-4.05		(1)  cpd00070[c0] + (1)  cpd00093[c0] <=> (1)  cpd00010[c0] + (1)  cpd02014[c0]	(1)  Malonyl-CoA_c0[c0] + (1)  Anthranilate_c0[c0] <=> (1)  CoA_c0[c0] + (1)  N-Malonylanthranilate_c0[c0]	rxn00730		R00989		
rxn03456_c0	=	Cytosol_0	(WP_004923169.1 or TT17_RS08090 or TT17_RS08085 or WP_004923170.1)	cyclohexane-1,2-dione acylhydrolase (decyclizing)_c0	3.7.1.11	14.84		(1)  cpd00067[c0] + (1)  cpd03640[c0] <=> (1)  cpd00001[c0] + (1)  cpd03643[c0]	(1)  H+_c0[c0] + (1)  6-Oxohexanoate_c0[c0] <=> (1)  H2O_c0[c0] + (1)  Cyclohexan-1,2-dione_c0[c0]	rxn03456		R05100	Caprolactam degradation	
rxn04754_c0	=	Cytosol_0	(WP_004925568.1 or TT17_RS05760)	R06945_c0		-99.87		(1)  cpd00004[c0] + (1)  cpd00007[c0] + (1)  cpd00067[c0] + (1)  cpd08112[c0] <=> (1)  cpd00001[c0] + (1)  cpd00003[c0] + (1)  cpd00636[c0]	(1)  NADH_c0[c0] + (1)  O2_c0[c0] + (1)  H+_c0[c0] + (1)  Cyclohexane_c0[c0] <=> (1)  H2O_c0[c0] + (1)  NAD_c0[c0] + (1)  Hexalin_c0[c0]	rxn04754		R06945	Caprolactam degradation	
rxn03360_c0	=	Cytosol_0	(WP_004923071.1 or TT17_RS07880)	5-Hydroxykynurenamine decarboxy-lyase_c0		3.09		(1)  cpd00011[c0] + (1)  cpd03349[c0] <=> (1)  cpd00067[c0] + (1)  cpd03362[c0]	(1)  CO2_c0[c0] + (1)  5-Hydroxykynurenamine_c0[c0] <=> (1)  H+_c0[c0] + (1)  5-Hydroxykynurenine_c0[c0]	rxn03360		R04909	Tryptophan metabolism	
rxn02898_c0	=	Cytosol_0	(WP_004929268.1 or TT17_RS14890)	O-Succinylbenzoyl-CoA 1,4-dihydroxy-2-naphthoate-lyase_c0		-14.27		(1)  cpd02021[c0] <=> (1)  cpd00010[c0] + (1)  cpd02295[c0]	(1)  Succinylbenzoyl-CoA_c0[c0] <=> (1)  CoA_c0[c0] + (1)  1-4-Dihydroxy-2-naphthoate_c0[c0]	rxn02898	NPHS	R04150		
rxn11631_c0	=	Cytosol_0	(TT17_RS04525 or WP_026056928.1)	5-hydroxyindoleacetaldehyde:oxygen oxidoreductase_c0		-41.51		(1)  cpd00001[c0] + (1)  cpd00007[c0] + (1)  cpd03345[c0] <=> (1)  cpd00025[c0] + (1)  cpd00067[c0] + (1)  cpd03346[c0]	(1)  H2O_c0[c0] + (1)  O2_c0[c0] + (1)  5-Hydroxyindoleacetaldehyde_c0[c0] <=> (1)  H2O2_c0[c0] + (1)  H+_c0[c0] + (1)  5-Hydroxyindoleacetate_c0[c0]	rxn11631		R04904	Tryptophan metabolism	
rxn08807_c0	=	Cytosol_0	(WP_004924301.1 or WP_004927204.1 or TT17_RS02070 or TT17_RS13800)	Lysophospholipase L1 (2-acylglycerophosphoethanolamine, n-C16:1) (periplasm)_c0		-264.53		(1)  cpd00001[c0] + (1)  cpd15317[c0] <=> (1)  cpd00067[c0] + (1)  cpd00908[c0] + (1)  cpd15237[c0]	(1)  H2O_c0[c0] + (1)  1-Acyl-sn-glycero-3-phosphoethanolamine hexadec-9-enoyl_c0[c0] <=> (1)  H+_c0[c0] + (1)  Glycerophosphoethanolamine_c0[c0] + (1)  hexadecenoate_c0[c0]	rxn08807	LPLIPAL1E161pp			
rxn03853_c0	=	Cytosol_0	(WP_004925568.1 or TT17_RS05760)	R05567_c0		-83.58		(1)  cpd00007[c0] + (2)  cpd03964[c0] <=> (2)  cpd00071[c0] + (2)  cpd03968[c0]	(1)  O2_c0[c0] + (2)  Deisopropylatrazine_c0[c0] <=> (2)  Acetaldehyde_c0[c0] + (2)  Deisopropyldeethylatrazine_c0[c0]	rxn03853		R05567	Atrazine degradation	
rxn02320_c0	=	Cytosol_0	((WP_004922691.1 or TT17_RS12010) and Unknown)	5-Amino-2-oxopentanoate:2-oxoglutarate aminotransferase_c0		-2.46		(1)  cpd00024[c0] + (1)  cpd00807[c0] <=> (1)  cpd00023[c0] + (1)  cpd00930[c0]	(1)  2-Oxoglutarate_c0[c0] + (1)  L-histidinol-phosphate_c0[c0] <=> (1)  L-Glutamate_c0[c0] + (1)  imidazole acetol-phosphate_c0[c0]	rxn02320	HIS5	R03243	Histidine metabolism	Amino-Acid-Biosynthesis|Biosynthesis|HISTIDINE-SYN|HISTSYN-PWY|IND-AMINO-ACID-SYN|PRPP-PWY
rxn06488_c0	=	Cytosol_0	(TT17_RS02070 or TT17_RS13800 or WP_004924301.1 or WP_004927204.1)	Deoxylimonate A-ring-lactonohydrolase_c0	3.1.1.46	3.74		(1)  cpd00001[c0] + (1)  cpd11999[c0] <=> (1)  cpd00067[c0] + (1)  cpd12503[c0]	(1)  H2O_c0[c0] + (1)  Deoxylimonate_c0[c0] <=> (1)  H+_c0[c0] + (1)  Deoxylimononic acid D-ring-lactone_c0[c0]	rxn06488		R03803		
rxn01405_c0	=	Cytosol_0	(TT17_RS11000 or WP_004923654.1)	Spermidine:putrescine 4-aminobutyltransferase (propane-1,3-diamine-forming)_c0	2.5.1.45	0		(1)  cpd00118[c0] + (1)  cpd00264[c0] <=> (1)  cpd00726[c0] + (1)  cpd03802[c0]	(1)  Putrescine_c0[c0] + (1)  Spermidine_c0[c0] <=> (1)  1,3-Propanediamine_c0[c0] + (1)  Homospermidine_c0[c0]	rxn01405		R01919		Biosynthesis|Polyamine-Biosynthesis
