id	direction	compartment	gpr	name	enzyme	deltag	reference	equation	definition	ms id	bigg id	kegg id	kegg pathways	metacyc pathways
rxn00935_c0	=	Cytosol_0	(BKU49_RS14925 or WP_003414545.1)	(S)-Malate:(acceptor) oxidoreductase_c0		-3.1		(1)  cpd00015[c0] + (1)  cpd00067[c0] + (1)  cpd00130[c0] <=> (1)  cpd00032[c0] + (1)  cpd00982[c0]	(1)  FAD_c0[c0] + (1)  H+_c0[c0] + (1)  L-Malate_c0[c0] <=> (1)  Oxaloacetate_c0[c0] + (1)  FADH2_c0[c0]	rxn00935		R01257	Pyruvate metabolism	
rxn01673_c0	=	Cytosol_0	(WP_003412592.1 or BKU49_RS12805)	ATP:dCDP phosphotransferase_c0		0		(1)  cpd00002[c0] + (1)  cpd00533[c0] <=> (1)  cpd00008[c0] + (1)  cpd00356[c0]	(1)  ATP_c0[c0] + (1)  dCDP_c0[c0] <=> (1)  ADP_c0[c0] + (1)  dCTP_c0[c0]	rxn01673	NDPK7	R02326	Pyrimidine metabolism	Biosynthesis|Nucleotide-Biosynthesis|PWY0-166|PYR-NUC-SYN|Pyrimid-Deoxyribonucleot-De-Novo-Biosyn
rxn02342_c0	=	Cytosol_0	(WP_003911788.1 or BKU49_RS11700)	R03270_c0		-2.81		(1)  cpd00213[c0] + (1)  cpd03049[c0] <=> (1)  cpd00056[c0] + (1)  cpd00836[c0]	(1)  Lipoamide_c0[c0] + (1)  2-Hydroxyethyl-ThPP_c0[c0] <=> (1)  TPP_c0[c0] + (1)  S-Acetyldihydrolipoamide_c0[c0]	rxn02342		R03270	Glycolysis / Gluconeogenesis|Citrate cycle (TCA cycle)|Pyruvate metabolism	
rxn01452_c0	=	Cytosol_0	((BKU49_RS02405 or WP_003402318.1) or (BKU49_RS02405 or WP_003402318.1))	(S)-3-Hydroxybutanoyl-CoA:NADP+ oxidoreductase_c0		3.76		(1)  cpd00006[c0] + (1)  cpd00842[c0] <=> (1)  cpd00005[c0] + (1)  cpd00067[c0] + (1)  cpd00279[c0]	(1)  NADP_c0[c0] + (1)  (S) -3-Hydroxybutyryl-CoA_c0[c0] <=> (1)  NADPH_c0[c0] + (1)  H+_c0[c0] + (1)  Acetoacetyl-CoA_c0[c0]	rxn01452		R01976	Benzoate degradation|Butanoate metabolism	
rxn00642_c0	>	Cytosol_0	(WP_003400829.1 or BKU49_RS00600 or WP_003407639.1 or BKU49_RS07985)	GDP-mannose 4,6-hydro-lyase (GDP-4-dehydro-6-deoxy-D-mannose-forming)_c0	4.2.1.47	-13.9		(1)  cpd00083[c0] => (1)  cpd00001[c0] + (1)  cpd00900[c0]	(1)  GDP-mannose_c0[c0] => (1)  H2O_c0[c0] + (1)  GDP-4-dehydro-D-rhamnose_c0[c0]	rxn00642	GDPMD	R00888	Fructose and mannose metabolism|Amino sugar and nucleotide sugar metabolism	Biosynthesis|CARBO-BIOSYNTHESIS|COLANSYN-PWY|Carbohydrates-Biosynthesis|Cell-Structure-Biosynthesis|GDPRHAMSYN-PWY|Lipopolysaccharide-Biosynthesis|O-Antigen-Biosynthesis|Rhamnose-Biosynthesis|SUGAR-NUCLEOTIDES
rxn00022_c0	>	Cytosol_0	(WP_003917325.1 or BKU49_RS03375)	maltose glucohydrolase_c0		-3.11		(1)  cpd00001[c0] + (1)  cpd00179[c0] => (2)  cpd00027[c0]	(1)  H2O_c0[c0] + (1)  Maltose_c0[c0] => (2)  D-Glucose_c0[c0]	rxn00022		R00028	Starch and sucrose metabolism	
rxn00973_c0	=	Cytosol_0	(Unknown and Unknown and Unknown and (BKU49_RS07790 or WP_031646997.1) and Unknown)	citrate hydroxymutase_c0		1.42		(1)  cpd00137[c0] <=> (1)  cpd00260[c0]	(1)  Citrate_c0[c0] <=> (1)  Isocitrate_c0[c0]	rxn00973	ACONT	R01324		
rxn02000_c0	=	Cytosol_0	(WP_003418610.1 or BKU49_RS18170)	dTDP-4-dehydro-6-deoxy-D-glucose 3,5-epimerase_c0		0		(1)  cpd00521[c0] <=> (1)  cpd00522[c0]	(1)  dTDP-4-oxo-6-deoxy-D-glucose_c0[c0] <=> (1)  dTDP-4-oxo-L-rhamnose_c0[c0]	rxn02000	TDPDRE	R06514	Streptomycin biosynthesis|Polyketide sugar unit biosynthesis	
rxn00107_c0	=	Cytosol_0	(BKU49_RS12805 or WP_003412592.1)	ATP:2'-deoxy-5-hydroxymethylcytidine-5'-diphosphate phosphotransferase_c0		0		(1)  cpd00002[c0] + (1)  cpd07923[c0] <=> (1)  cpd00008[c0] + (1)  cpd07924[c0]	(1)  ATP_c0[c0] + (1)  2'-Deoxy-5-hydroxymethylcytidine-5'-diphosphate_c0[c0] <=> (1)  ADP_c0[c0] + (1)  2'-Deoxy-5-hydroxymethylcytidine-5'-triphosphate_c0[c0]	rxn00107		R00139	Pyrimidine metabolism	
rxn04271_c0	=	Cytosol_0	(WP_003419825.1 or BKU49_RS19430)	trans-2-Methyl-5-isopropylhexa-2,5-dienal dehydrogenase_c0		-9.8		(1)  cpd00001[c0] + (1)  cpd00003[c0] + (1)  cpd08739[c0] <=> (1)  cpd00004[c0] + (2)  cpd00067[c0] + (1)  cpd08740[c0]	(1)  H2O_c0[c0] + (1)  NAD_c0[c0] + (1)  trans-2-Methyl-5-isopropylhexa-2,5-dienal_c0[c0] <=> (1)  NADH_c0[c0] + (2)  H+_c0[c0] + (1)  trans-2-Methyl-5-isopropylhexa-2,5-dienoic acid_c0[c0]	rxn04271		R06408	Limonene and pinene degradation	
rxn13783_c0	>	Cytosol_0	(Unknown and Unknown and (WP_003917863.1 or BKU49_RS00025) and Unknown and (BKU49_RS16045 or BKU49_RS04920 or BKU49_RS19555 or WP_003420435.1 or WP_003898655.1 or WP_003415991.1) and Unknown and (BKU49_RS00290 or WP_003400534.1) and Unknown and Unknown and Unknown and Unknown and Unknown and Unknown and Unknown and Unknown and (WP_009938167.1 or BKU49_RS00030) and Unknown and Unknown and (BKU49_RS00005 or WP_003400253.1) and (BKU49_RS12270 or WP_003412049.1) and Unknown and Unknown and Unknown)	DNA replication_c0				 => (1)  cpd17042[c0]	 => (1)  DNA replication_c0[c0]	rxn13783				
rxn04681_c0	=	Cytosol_0	(BKU49_RS14900 or WP_003414535.1)	S-Adenosyl-L-methionine:methylethanolamine phosphate N-methyltransferase_c0		-13.11		(1)  cpd00017[c0] + (1)  cpd00888[c0] <=> (1)  cpd00019[c0] + (1)  cpd00067[c0] + (1)  cpd09444[c0]	(1)  S-Adenosyl-L-methionine_c0[c0] + (1)  N-Methylethanolamine phosphate_c0[c0] <=> (1)  S-Adenosyl-homocysteine_c0[c0] + (1)  H+_c0[c0] + (1)  Phosphodimethylethanolamine_c0[c0]	rxn04681		R06868	Glycerophospholipid metabolism	Biosynthesis|Choline-Biosynthesis|Lipid-Biosynthesis|PHOSLIPSYN2-PWY|PWY4FS-2|PWY4FS-4|PWY4FS-5|PhosphatidylcholineBiosynthesis|Phospholipid-Biosynthesis
rxn01358_c0	=	Cytosol_0	(BKU49_RS17355 or WP_003417233.1)	inosine:phosphate alpha-D-ribosyltransferase_c0		-7.95		(1)  cpd00009[c0] + (1)  cpd00246[c0] <=> (1)  cpd00226[c0] + (1)  cpd00475[c0]	(1)  Phosphate_c0[c0] + (1)  Inosine_c0[c0] <=> (1)  HYXN_c0[c0] + (1)  Ribose 1-phosphate_c0[c0]	rxn01358	PNP1_6	R01863	Purine metabolism	Adenine-Adenosine-Salvage|Adenosine-Nucleotides-Degradation|Biosynthesis|Degradation|NUCLEO-DEG|Nucleotide-Biosynthesis|PUR-NUC-SYN|PWY0-1296|Purine-Degradation|Purine-Nucleotides-Salvage|SALVADEHYPOX-PWY
rxn03433_c0	>	Cytosol_0	((BKU49_RS05650 or WP_003405716.1) or (WP_003405716.1 or BKU49_RS05650))	(S)-3-Hydroxyisobutyryl-CoA hydrolase_c0		-5.76		(1)  cpd00001[c0] + (1)  cpd03572[c0] => (1)  cpd00010[c0] + (1)  cpd00067[c0] + (1)  cpd00876[c0]	(1)  H2O_c0[c0] + (1)  (S) -3-Hydroxyisobutyryl-CoA_c0[c0] => (1)  CoA_c0[c0] + (1)  H+_c0[c0] + (1)  3-Hydroxyisobutyrate_c0[c0]	rxn03433	3HBCOAHL	R05064	Valine, leucine and isoleucine degradation	
rxn10231_c0	>	Cytosol_0	(BKU49_RS02235 or WP_003906370.1)	isohexadecanoyl-CDPdiacylglycerol-serine O-phosphatidyltransferase_c0		-15.04		(1)  cpd00054[c0] + (1)  cpd15688[c0] => (1)  cpd00046[c0] + (2)  cpd00067[c0] + (1)  cpd15694[c0]	(1)  L-Serine_c0[c0] + (1)  CDP-1,2-diisohexadecanoylglycerol_c0[c0] => (1)  CMP_c0[c0] + (2)  H+_c0[c0] + (1)  Diisohexadecanoylphosphatidylserine_c0[c0]	rxn10231				
rxn12637_c0	=	Cytosol_0	(BKU49_RS03820 or WP_003899513.1 or BKU49_RS14980 or WP_003403728.1)	RXN0-6987.c_c0		-0.46		(1)  cpd00001[c0] + (1)  cpd11589[c0] <=> (1)  cpd00033[c0] + (1)  cpd00041[c0]	(1)  H2O_c0[c0] + (1)  gly-asp-L_c0[c0] <=> (1)  Glycine_c0[c0] + (1)  L-Aspartate_c0[c0]	rxn12637	AMPEP13			
rxn03046_c0	=	Cytosol_0	(BKU49_RS15620 or WP_003415097.1)	ATP:guanidinoethyyl-methyl-phosphate phosphotransferase_c0	2.7.3.7	1.93		(1)  cpd00002[c0] + (1)  cpd02519[c0] <=> (1)  cpd00008[c0] + (1)  cpd00067[c0] + (1)  cpd02744[c0]	(1)  ATP_c0[c0] + (1)  Guanidinoethyl methyl phosphate_c0[c0] <=> (1)  ADP_c0[c0] + (1)  H+_c0[c0] + (1)  N'-Phosphoguanidinoethyl methyl phosphate_c0[c0]	rxn03046		R04388		
rxn09240_c0	=	Cytosol_0	((WP_003911471.1 or BKU49_RS06765) and Unknown)	Sulfate adenyltransferase_c0		-3.78		(1)  cpd00001[c0] + (1)  cpd00002[c0] + (1)  cpd00038[c0] + (1)  cpd00048[c0] <=> (1)  cpd00009[c0] + (1)  cpd00012[c0] + (1)  cpd00031[c0] + (1)  cpd00067[c0] + (1)  cpd00193[c0]	(1)  H2O_c0[c0] + (1)  ATP_c0[c0] + (1)  GTP_c0[c0] + (1)  Sulfate_c0[c0] <=> (1)  Phosphate_c0[c0] + (1)  PPi_c0[c0] + (1)  GDP_c0[c0] + (1)  H+_c0[c0] + (1)  APS_c0[c0]	rxn09240	SADT2			
rxn01219_c0	=	Cytosol_0	(WP_003408441.1 or BKU49_RS08920)	ATP:dCMP phosphotransferase_c0		9.53		(1)  cpd00002[c0] + (1)  cpd00067[c0] + (1)  cpd00206[c0] <=> (1)  cpd00008[c0] + (1)  cpd00533[c0]	(1)  ATP_c0[c0] + (1)  H+_c0[c0] + (1)  dCMP_c0[c0] <=> (1)  ADP_c0[c0] + (1)  dCDP_c0[c0]	rxn01219	CYTK2	R01665	Pyrimidine metabolism	
rxn00258_c0	=	Cytosol_0	(BKU49_RS07290 or WP_003407200.1)	Malonyl-CoA:pyruvate carboxytransferase_c0		0		(1)  cpd00020[c0] + (1)  cpd00070[c0] <=> (1)  cpd00022[c0] + (1)  cpd00032[c0]	(1)  Pyruvate_c0[c0] + (1)  Malonyl-CoA_c0[c0] <=> (1)  Acetyl-CoA_c0[c0] + (1)  Oxaloacetate_c0[c0]	rxn00258		R00353	Propanoate metabolism	
rxn08333_c0	>	Cytosol_0	(WP_003402865.1 or BKU49_RS02760)	1,4-dihydroxy-2-naphthoate octaprenyltransferase_c0		10.17		(1)  cpd02295[c0] + (1)  cpd02557[c0] => (1)  cpd00011[c0] + (1)  cpd00012[c0] + (1)  cpd15353[c0]	(1)  1-4-Dihydroxy-2-naphthoate_c0[c0] + (1)  Farnesylfarnesylgeraniol_c0[c0] => (1)  CO2_c0[c0] + (1)  PPi_c0[c0] + (1)  2-Demethylmenaquinol 8_c0[c0]	rxn08333	DHNAOT4			ALL-CHORISMATE-PWY|Biosynthesis|Cofactor-Biosynthesis|Demethylmenaquinol-8-Biosynthesis|Demethylmenaquinone-Biosynthesis|Menaquinone-Biosynthesis|Quinone-Biosynthesis
rxn00179_c0	=	Cytosol_0	(WP_003906819.1 or BKU49_RS12775)	ATP:L-glutamate 5-phosphotransferase_c0		-6.9		(1)  cpd00002[c0] + (1)  cpd00023[c0] <=> (1)  cpd00008[c0] + (1)  cpd02097[c0]	(1)  ATP_c0[c0] + (1)  L-Glutamate_c0[c0] <=> (1)  ADP_c0[c0] + (1)  L-Glutamyl 5-phosphate_c0[c0]	rxn00179	GLU5K	R00239	Arginine and proline metabolism	Amino-Acid-Biosynthesis|Biosynthesis|CITRULBIO-PWY|Citrulline-Biosynthesis|IND-AMINO-ACID-SYN|Other-Amino-Acid-Biosynthesis|PROLINE-SYN|PROSYN-PWY
rxn02945_c0	>	Cytosol_0	(WP_003417954.1 or BKU49_RS17825)	prephytoene diphosphate:geranylgeranyl-diphosphate geranylgeranyltransferase_c0		-13.19		(1)  cpd02168[c0] => (1)  cpd00012[c0] + (1)  cpd00067[c0] + (1)  cpd03211[c0]	(1)  Prephytoene diphosphate_c0[c0] => (1)  PPi_c0[c0] + (1)  H+_c0[c0] + (1)  15-cis-Phytoene_c0[c0]	rxn02945		R04218	Carotenoid biosynthesis	Biosynthesis|CAROTENOID-PWY|CAROTENOID-SYN|Lycopene-Biosynthesis|SECONDARY-METABOLITE-BIOSYNTHESIS|TETRATERPENOID-SYN|Terpenoid-Biosynthesis
rxn01210_c0	>	Cytosol_0	(Unknown and (WP_003899324.1 or BKU49_RS12815))	10-Formyltetrahydrofolate:L-glutamate ligase (ADP-forming)_c0		-20.65		(1)  cpd00002[c0] + (1)  cpd00023[c0] + (1)  cpd00201[c0] => (1)  cpd00008[c0] + (1)  cpd00009[c0] + (1)  cpd00067[c0] + (1)  cpd03524[c0]	(1)  ATP_c0[c0] + (1)  L-Glutamate_c0[c0] + (1)  10-Formyltetrahydrofolate_c0[c0] => (1)  ADP_c0[c0] + (1)  Phosphate_c0[c0] + (1)  H+_c0[c0] + (1)  10-Formyl-THF-L-glutamate_c0[c0]	rxn01210		R01654		
rxn00730_c0	=	Cytosol_0	(WP_003406234.1 or BKU49_RS06340)	Malonyl-CoA:anthranilate N-malonyltransferase_c0	2.3.1.113	-4.05		(1)  cpd00070[c0] + (1)  cpd00093[c0] <=> (1)  cpd00010[c0] + (1)  cpd02014[c0]	(1)  Malonyl-CoA_c0[c0] + (1)  Anthranilate_c0[c0] <=> (1)  CoA_c0[c0] + (1)  N-Malonylanthranilate_c0[c0]	rxn00730		R00989		
rxn00509_c0	>	Cytosol_0	(BKU49_RS01230 or WP_003912534.1)	Succinate-semialdehyde:NADP+ oxidoreductase_c0	1.2.1.79	-9.8		(1)  cpd00001[c0] + (1)  cpd00006[c0] + (1)  cpd00199[c0] => (1)  cpd00005[c0] + (1)  cpd00036[c0] + (2)  cpd00067[c0]	(1)  H2O_c0[c0] + (1)  NADP_c0[c0] + (1)  4-Oxobutanoate_c0[c0] => (1)  NADPH_c0[c0] + (1)  Succinate_c0[c0] + (2)  H+_c0[c0]	rxn00509	SSALy	R00714	Alanine, aspartate and glutamate metabolism|Tyrosine metabolism|Butanoate metabolism	3-HYDROXYPHENYLACETATE-DEGRADATION-PWY|4-Aminobutyraye-Degradation|4AMINOBUTMETAB-PWY|AMINE-DEG|ARGDEG-PWY|ARGININE-DEG|AROMATIC-COMPOUNDS-DEGRADATION|Amino-Acid-Degradation|Degradation|Energy-Metabolism|GLUTAMATE-DEG|Nicotine-Degradation|ORNARGDEG-PWY|Other-Degradation|P105-PWY|P181-PWY|PWY3O-210|TCA-VARIANTS
rxn08807_c0	=	Cytosol_0	(BKU49_RS00965 or WP_003401112.1)	Lysophospholipase L1 (2-acylglycerophosphoethanolamine, n-C16:1) (periplasm)_c0		-264.53		(1)  cpd00001[c0] + (1)  cpd15317[c0] <=> (1)  cpd00067[c0] + (1)  cpd00908[c0] + (1)  cpd15237[c0]	(1)  H2O_c0[c0] + (1)  1-Acyl-sn-glycero-3-phosphoethanolamine hexadec-9-enoyl_c0[c0] <=> (1)  H+_c0[c0] + (1)  Glycerophosphoethanolamine_c0[c0] + (1)  hexadecenoate_c0[c0]	rxn08807	LPLIPAL1E161pp			
rxn07258_c0	=	Cytosol_0	(WP_003899284.1 or BKU49_RS12300)	Plasmenylethanolamine ethanolamine phosphohydrolase_c0		-22.63		(1)  cpd00001[c0] + (1)  cpd12606[c0] <=> (1)  cpd00285[c0] + (1)  cpd12322[c0]	(1)  H2O_c0[c0] + (1)  Plasmenylethanolamine_c0[c0] <=> (1)  Phosphoethanolamine_c0[c0] + (1)  1-Alkenyl-2-acylglycerol_c0[c0]	rxn07258		R07381	Ether lipid metabolism	
rxn01547_c0	=	Cytosol_0	(WP_003906639.1 or BKU49_RS08380)	Guanosine aminohydrolase_c0		-8.88		(1)  cpd00001[c0] + (1)  cpd00067[c0] + (1)  cpd00311[c0] <=> (1)  cpd00013[c0] + (1)  cpd01217[c0]	(1)  H2O_c0[c0] + (1)  H+_c0[c0] + (1)  Guanosine_c0[c0] <=> (1)  NH3_c0[c0] + (1)  Xanthosine_c0[c0]	rxn01547		R02145		AROMATIC-COMPOUNDS-DEGRADATION|Degradation|Guanosine-Nucleotides-Degradation|NUCLEO-DEG|P165-PWY|Purine-Degradation|Urate-Degradation
rxn02320_c0	=	Cytosol_0	((BKU49_RS08350 or WP_003407947.1 or BKU49_RS19785 or WP_003899686.1) and Unknown)	5-Amino-2-oxopentanoate:2-oxoglutarate aminotransferase_c0		-2.46		(1)  cpd00024[c0] + (1)  cpd00807[c0] <=> (1)  cpd00023[c0] + (1)  cpd00930[c0]	(1)  2-Oxoglutarate_c0[c0] + (1)  L-histidinol-phosphate_c0[c0] <=> (1)  L-Glutamate_c0[c0] + (1)  imidazole acetol-phosphate_c0[c0]	rxn02320	HIS5	R03243	Histidine metabolism	Amino-Acid-Biosynthesis|Biosynthesis|HISTIDINE-SYN|HISTSYN-PWY|IND-AMINO-ACID-SYN|PRPP-PWY
rxn06240_c0	=	Cytosol_0	(WP_003898740.1 or BKU49_RS06035)	N-Acyl-D-glucosamine 6-phosphate 2-epimerase_c0		0		(1)  cpd11727[c0] <=> (1)  cpd12473[c0]	(1)  N-Acyl-D-mannosamine 6-phosphate_c0[c0] <=> (1)  N-Acyl-D-glucosamine 6-phosphate_c0[c0]	rxn06240		R02770		
rxn06488_c0	=	Cytosol_0	(BKU49_RS00965 or WP_003401112.1)	Deoxylimonate A-ring-lactonohydrolase_c0	3.1.1.46	3.74		(1)  cpd00001[c0] + (1)  cpd11999[c0] <=> (1)  cpd00067[c0] + (1)  cpd12503[c0]	(1)  H2O_c0[c0] + (1)  Deoxylimonate_c0[c0] <=> (1)  H+_c0[c0] + (1)  Deoxylimononic acid D-ring-lactone_c0[c0]	rxn06488		R03803		
rxn01405_c0	=	Cytosol_0	(WP_003405736.1 or BKU49_RS05690)	Spermidine:putrescine 4-aminobutyltransferase (propane-1,3-diamine-forming)_c0	2.5.1.45	0		(1)  cpd00118[c0] + (1)  cpd00264[c0] <=> (1)  cpd00726[c0] + (1)  cpd03802[c0]	(1)  Putrescine_c0[c0] + (1)  Spermidine_c0[c0] <=> (1)  1,3-Propanediamine_c0[c0] + (1)  Homospermidine_c0[c0]	rxn01405		R01919		Biosynthesis|Polyamine-Biosynthesis
rxn02504_c0	=	Cytosol_0	(BKU49_RS18890 or WP_003419537.1)	2-amino-4-hydroxy-6-(D-erythro-1,2,3-trihydroxypropyl)-7,8-dihydropteridine glycolaldehyde-lyase_c0		14.75		(1)  cpd02961[c0] <=> (1)  cpd00229[c0] + (1)  cpd00954[c0]	(1)  Dihydroneopterin_c0[c0] <=> (1)  Glycolaldehyde_c0[c0] + (1)  6-hydroxymethyl dihydropterin_c0[c0]	rxn02504	DHNPA	R03504	Folate biosynthesis	6-HM-Dihydropterin-PP-Biosynthesis|ALL-CHORISMATE-PWY|Biosynthesis|Cofactor-Biosynthesis|FOLSYN-PWY|Folate-Biosynthesis|Vitamin-Biosynthesis
